task_id,instruction,step_count,gold_path,constant_inputs,Step,api_step,expected_status_code,required_steps,final_step,output_bindings_step,output_bindings_content,dependency_bindings_steps_from,dependency_bindings_steps_to,dependency_bindings_content,success_condition,oracle_actions_1_regenerate_data,oracle_actions_2_resolve_resource,acceptable_failure_codes
tmdb_006,What dose the lead actor of Titanic look like?,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits -> Step 3: GET /person/{person_id}/images,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,3,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_006,What dose the lead actor of Titanic look like?,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits -> Step 3: GET /person/{person_id}/images,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits ,[2XX],Y,3,Step 2,$.id as person_id,Step 2,Step 3,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_006,What dose the lead actor of Titanic look like?,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits -> Step 3: GET /person/{person_id}/images,manual review required for first-step query/body constants,Step 3,GET /person/{person_id}/images,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_007,give me some reviews of the first movie that is similar to Titanic,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/similar -> Step 3: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,3,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_007,give me some reviews of the first movie that is similar to Titanic,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/similar -> Step 3: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/similar ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_007,give me some reviews of the first movie that is similar to Titanic,3,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/similar -> Step 3: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/reviews,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_008,I just finished watching Titanic and I want some other movie recommendations,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/recommendations,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_008,I just finished watching Titanic and I want some other movie recommendations,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/recommendations,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/recommendations,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_009,What is the latest movie directed by Christopher Nolan?,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,2,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_009,What is the latest movie directed by Christopher Nolan?,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_010,tell me the highest rated movie directed by Martin Scorsese,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,2,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_010,tell me the highest rated movie directed by Martin Scorsese,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_011,Who is the director of Leonardo DiCaprio's latest movie?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,3,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_011,Who is the director of Leonardo DiCaprio's latest movie?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_011,Who is the director of Leonardo DiCaprio's latest movie?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/credits,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_012,tell me a TV show recently directed by Catherine Hardwicke,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/tv_credits,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,2,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_012,tell me a TV show recently directed by Catherine Hardwicke,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/tv_credits,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/tv_credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_013,Please recommend me some TV shows similar to Breaking Bad,2,Step 1: GET /search/tv -> Step 2: GET /tv/{tv_id}/recommendations,manual review required for first-step query/body constants,Step 1,GET /search/tv ,[2XX],Y,2,Step 1,$.results[0].id as tv_id,Step 1,Step 2,tv_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_013,Please recommend me some TV shows similar to Breaking Bad,2,Step 1: GET /search/tv -> Step 2: GET /tv/{tv_id}/recommendations,manual review required for first-step query/body constants,Step 2,GET /tv/{tv_id}/recommendations,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_014,Who is the director of today's most trending movie?,2,Step 1: GET /trending/{media_type}/{time_window} -> Step 2: GET /movie/{movie_id}/credits,"Step 1.media_type={'source': 'constant', 'value': 'movie'}; Step 1.time_window={'source': 'constant', 'value': 'day'}",Step 1,GET /trending/{media_type}/{time_window} ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_014,Who is the director of today's most trending movie?,2,Step 1: GET /trending/{media_type}/{time_window} -> Step 2: GET /movie/{movie_id}/credits,"Step 1.media_type={'source': 'constant', 'value': 'movie'}; Step 1.time_window={'source': 'constant', 'value': 'day'}",Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_015,"Who is the director of the movie ""Twilight""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_015,"Who is the director of the movie ""Twilight""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_016,give me a photo belong to the second episode of the first season of the Witcher,2,Step 1: GET /search/tv -> Step 2: GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/images,manual review required for first-step query/body constants,Step 1,GET /search/tv ,[2XX],Y,2,Step 1,"$.results[0].id as tv_id, $.results[0].id as season_number, $.results[0].id as episode_number",Step 1,Step 2,"tv_id, season_number, episode_number ",all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_016,give me a photo belong to the second episode of the first season of the Witcher,2,Step 1: GET /search/tv -> Step 2: GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/images,manual review required for first-step query/body constants,Step 2,GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/images,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_017,What is top-1 rated movie?,1,Step 1: GET /movie/top_rated,manual review required for first-step query/body constants,Step 1,GET /movie/top_rated,[2XX],Y,1,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_018,"What is the release date of the movie ""The Matrix""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_018,"What is the release date of the movie ""The Matrix""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/release_dates,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_019,Who is the most popular person?,1,Step 1: GET /person/popular,manual review required for first-step query/body constants,Step 1,GET /person/popular,[2XX],Y,1,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_020,Give me some cover images of movies directed by Christopher Nolan.,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,3,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_020,Give me some cover images of movies directed by Christopher Nolan.,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_020,Give me some cover images of movies directed by Christopher Nolan.,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/images,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_021,"What are some common keywords associated with movie ""Titanic""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_021,"What are some common keywords associated with movie ""Titanic""?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/keywords,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_022,Give me a show that is currently on the air,1,Step 1: GET /tv/on_the_air,manual review required for first-step query/body constants,Step 1,GET /tv/on_the_air,[2XX],Y,1,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_023,When is Clint Eastwood's latest movie scheduled to be released?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,3,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_023,When is Clint Eastwood's latest movie scheduled to be released?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_023,When is Clint Eastwood's latest movie scheduled to be released?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/release_dates,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_024,Give me some movie reviews about The Dark Knight,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_024,Give me some movie reviews about The Dark Knight,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/reviews,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_025,What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/similar,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,3,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_025,What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/similar,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_025,What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,3,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits -> Step 3: GET /movie/{movie_id}/similar,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/similar,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_026,Who is the lead actor in the latest released movie?,2,Step 1: GET /movie/latest -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /movie/latest ,[2XX],Y,2,Step 1,$.id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_026,Who is the lead actor in the latest released movie?,2,Step 1: GET /movie/latest -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_027,give me one image of the movie that is currently showing in theaters,2,Step 1: GET /movie/now_playing -> Step 2: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 1,GET /movie/now_playing ,[2XX],Y,2,Step 1,$.id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_027,give me one image of the movie that is currently showing in theaters,2,Step 1: GET /movie/now_playing -> Step 2: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/images,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_028,What is the most popular movie right now and what is its keywords?,2,Step 1: GET /movie/popular -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 1,GET /movie/popular ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_028,What is the most popular movie right now and what is its keywords?,2,Step 1: GET /movie/popular -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/keywords,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_029,What are the keywords of the most popular movie right now,2,Step 1: GET /movie/popular -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 1,GET /movie/popular ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_029,What are the keywords of the most popular movie right now,2,Step 1: GET /movie/popular -> Step 2: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/keywords,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_030,"Who has starred in a movie ""Titanic""",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_030,"Who has starred in a movie ""Titanic""",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_031,What do the logo looks like for Paramount Pictures?,2,Step 1: GET /company/{company_id} -> Step 2: GET /company/{company_id}/images,"Step 1.company_id={'source': 'constant_or_instruction', 'value': 'TODO_COMPANY_ID'}",Step 1,GET /company/{company_id} ,[2XX],Y,2,Step 1,$.id as company_id,Step 1,Step 2,company_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_031,What do the logo looks like for Paramount Pictures?,2,Step 1: GET /company/{company_id} -> Step 2: GET /company/{company_id}/images,"Step 1.company_id={'source': 'constant_or_instruction', 'value': 'TODO_COMPANY_ID'}",Step 2,GET /company/{company_id}/images,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_032,"tell me where the company ""universal pictures"" was founded?",2,Step 1: GET /search/company -> Step 2: GET /company/{company_id},manual review required for first-step query/body constants,Step 1,GET /search/company ,[2XX],Y,2,Step 1,$.results[0].id as company_id,Step 1,Step 2,company_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_032,"tell me where the company ""universal pictures"" was founded?",2,Step 1: GET /search/company -> Step 2: GET /company/{company_id},manual review required for first-step query/body constants,Step 2,GET /company/{company_id},[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_033,"When is the movie ""Titanic"" released?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_033,"When is the movie ""Titanic"" released?",2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/release_dates,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/release_dates,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_034,Who has starred in the first movie of Star Wars collection?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,3,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_034,Who has starred in the first movie of Star Wars collection?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id} ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_034,Who has starred in the first movie of Star Wars collection?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/credits,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_035,give me a movie cover of a movie from the collection Harry Potter,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,3,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_035,give me a movie cover of a movie from the collection Harry Potter,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id} ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_035,give me a movie cover of a movie from the collection Harry Potter,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/images,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/images,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_036,What are some keywords for a movie of the collection The Hunger Games?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,3,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_036,What are some keywords for a movie of the collection The Hunger Games?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id} ,[2XX],Y,3,Step 2,$.id as movie_id,Step 2,Step 3,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_036,What are some keywords for a movie of the collection The Hunger Games?,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/keywords,manual review required for first-step query/body constants,Step 3,GET /movie/{movie_id}/keywords,[2XX],Y,3,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_037,When are the release dates for the movies of the collection The Hobbit?,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id},manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,2,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_037,When are the release dates for the movies of the collection The Hobbit?,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id},manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id},[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_038,List movies from The Fast and the Furious collection,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id},manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,2,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_038,List movies from The Fast and the Furious collection,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id},manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id},[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_039,Give me a review of a movie from the collection The Fast and the Furious.,3,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id} -> Step 3: GET /movie/{movie_id}/reviews,manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,3,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
